Metric,Value
minAngle,73.91
trajectorySlope,0.68
maxAngle,73.97
points,"[[253.62396414214254, 157.70461502160845, 72.95681412854094], [253.59020170771018, 157.70952088508443, 72.97474809445862], [253.55721647502608, 157.61712523538657, 72.93535009210268], [253.59921788255323, 157.628617481363, 72.90920902476586], [253.60323282704172, 157.55057281371427, 72.96357609019555]]"
minDistance,9999999999999999999999999999
maxDistance,0
